mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2
AQUA,MEAN,False,4096,32,0.65,Mix41,3.623572987147803,2.5020313992930863,0.3361107587363368,0,0,0,0,0,1629,395,23667805.94325,100000001,100000000,100000003
AQUA,MEAN,False,2048,32,0.65,Mix41,3.463944752021567,2.400105911873679,0.31219358901979694,0,0,0,0,0,3407,933,26021883.3555625,100000001,100000000,100000001
AQUA,MEAN,False,1024,32,0.65,Mix41,3.2363326034648243,2.2240698311666334,0.2308968138655823,0,0,0,0,0,9039,3122,34615838.191875,100000001,100000000,100000003
AQUA,MEAN,False,512,32,0.65,Mix41,2.826659143607653,1.7095514485747436,0.16903037586876943,0,0,0,0,0,20012,8252,48281974.329500005,100000001,100000000,100000001
AQUA,MEAN,False,256,32,0.65,Mix41,2.4085095966943495,1.227853603604212,0.10192231102787837,0,0,0,0,0,47611,21275,77031327.8720625,100000001,100000000,100000001
AQUA,MEAN,False,128,32,0.65,Mix41,2.097425387291167,0.7083137339971829,0.051412018318825824,0,0,0,0,0,116214,54068,159324236.11575,100000001,100000000,100000001
AQUA,MEAN,False,64,32,0.65,Mix41,1.8183592421035113,0.46241280304893545,0.025758236333333333,0,0,0,0,0,192068,97354,286387544.43537503,100000001,100000000,77274709
Graphene,MEAN,False,4096,32,0.65,Mix41,3.789853856415021,2.6318468416732523,0.3600949315368265,1728,0,0,0,0,0,0,20750408.6909375,100000001,100000000,100000002
Graphene,MEAN,False,2048,32,0.65,Mix41,3.8102082335931957,2.6842683087230665,0.36247634936994055,4088,0,0,0,0,0,0,20612159.248125,100000001,100000000,100000001
Graphene,MEAN,False,1024,32,0.65,Mix41,3.8241897975971084,2.7098863918068643,0.3603477537404087,10069,0,0,0,0,0,0,20682833.70975,100000001,100000000,100000001
Graphene,MEAN,False,512,32,0.65,Mix41,3.819896941473488,2.7094944533126197,0.3251375595224447,29966,0,0,0,0,0,0,22591731.0841875,100000001,100000000,100000001
Graphene,MEAN,False,256,32,0.65,Mix41,3.8196564868366045,2.7000269030680624,0.3046490897245322,67151,0,0,0,0,0,0,23836786.289375003,100000001,100000000,100000002
Graphene,MEAN,False,128,32,0.65,Mix41,3.820429317683938,2.73424091538886,0.28031874584229494,147530,0,0,0,0,0,0,25460558.078,100000001,100000000,100000002
Graphene,MEAN,False,64,32,0.65,Mix41,3.8032327934809245,2.683948431688413,0.2538767499781323,302846,0,0,0,0,0,0,27435831.216625005,100000001,100000000,100000001
Hydra,MEAN,False,4096,32,0.65,Mix41,3.819083923986482,2.7116058574591233,0.3620166403191562,1802,0,0,0,0,0,0,20643440.6485,100000001,100000000,100000001
Hydra,MEAN,False,2048,32,0.65,Mix41,3.826005989918398,2.724941911050811,0.32580709502935995,4937,0,0,0,0,0,0,22634754.924562503,100000001,100000000,100000001
