mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Graphene,MEAN,False,512,32,0.65,Mix1,0,0,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,1,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,2,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,3,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,4,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,5,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,6,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,7,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,8,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,9,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,10,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,11,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,12,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,13,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,14,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,15,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,16,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,17,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,18,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,19,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,20,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,21,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,22,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,23,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,24,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,25,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,26,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,27,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,28,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,29,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,30,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,31,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,32,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,33,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,34,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,35,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,36,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,37,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,38,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,39,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,40,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,41,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,42,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,43,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,44,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,45,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,46,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,47,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,48,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,49,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,50,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,51,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,52,49
Graphene,MEAN,False,512,32,0.65,Mix1,0,53,134
Graphene,MEAN,False,512,32,0.65,Mix1,0,54,154
Graphene,MEAN,False,512,32,0.65,Mix1,0,55,179
Graphene,MEAN,False,512,32,0.65,Mix1,0,56,199
Graphene,MEAN,False,512,32,0.65,Mix1,0,57,214
Graphene,MEAN,False,512,32,0.65,Mix1,0,58,219
Graphene,MEAN,False,512,32,0.65,Mix1,0,59,229
Graphene,MEAN,False,512,32,0.65,Mix1,0,60,239
Graphene,MEAN,False,512,32,0.65,Mix1,0,61,249
Graphene,MEAN,False,512,32,0.65,Mix1,0,62,259
Graphene,MEAN,False,512,32,0.65,Mix1,0,63,264
Graphene,MEAN,False,512,32,0.65,Mix1,0,64,274
Graphene,MEAN,False,512,32,0.65,Mix1,0,65,279
Graphene,MEAN,False,512,32,0.65,Mix1,0,66,289
Graphene,MEAN,False,512,32,0.65,Mix1,0,67,294
Graphene,MEAN,False,512,32,0.65,Mix1,0,68,299
Graphene,MEAN,False,512,32,0.65,Mix1,0,69,309
Graphene,MEAN,False,512,32,0.65,Mix1,0,70,314
Graphene,MEAN,False,512,32,0.65,Mix1,0,71,324
