,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,soa_3,aos_3,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
0,Graphene,MEAN,False,512,32,0.65,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,12300729.788753055,5506586,6554786,7657952,5480884,0.828172,0.6452526,0.9502711,0.828172,0.6649084972686833,1.503966341395558,1.0158480570244894,0.984399185572191,0.8058702406081801,1.2408945629327528,0.661805035668919,1.5110190253980926,3.148431830570272,0.7633181195105249,0.338194964331081,5480884,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,1.0,1.0,1.0,1.0
1,Graphene,MEAN,False,64,32,0.65,Mix5,0.5287986,0.6230201,0.7206602,0.52326,2009,0,0,0,0,0,0,12720490.021690937,5287986,6230201,7206602,5232600,0.828172,0.6452526,0.9502711,0.828172,0.6385130142047787,1.5661387908364357,0.9655445014867046,1.035685044511405,0.7583732684283463,1.318611878385958,0.6318252730109204,1.5827160493827162,2.99425605713075,0.7268562038955549,0.3681747269890796,5232600,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.951030931671277,0.9522323462747734,1.088646389863598,1.0341248234980076
2,Hydra,MEAN,False,512,32,0.65,Mix5,0.5556082,0.6560605,0.7643776,0.549994,0,0,0,0,0,0,0,12271186.167485464,5556082,6560605,7643776,5499940,0.828172,0.6452526,0.9502711,0.828172,0.6708850335437566,1.4905683537427994,1.0167498743902776,0.9835260620019036,0.8043784557901423,1.2431959021300467,0.6641060069647368,1.5057836994585396,3.1561193706889132,0.7658325320923279,0.33589399303526324,5499940,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,1.0024417044841174,1.0032940559349166,0.993196317099609,0.9975982220750347
3,Hydra,MEAN,False,64,32,0.65,Mix5,0.4770882,0.5851169,0.6641256,0.4831363,2240,0,0,0,0,0,0,13631158.54285434,4770882,5851169,6641256,4831363,0.828172,0.6452526,0.9502711,0.828172,0.5760738107542878,1.7358886679653782,0.9068028551919048,1.1027755308383673,0.6988801406251332,1.4308605179502192,0.5833767623150746,1.7141580957588987,2.7651335688864003,0.6684846315107718,0.42392618924571224,4770882,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.878257404857184,0.8757615133509935,1.2534964560581199,1.108158522051085
4,Dummy,NONE,False,0,0,0.0,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,12300729.788753055,5506586,6554786,7657952,5480884,0.828172,0.6452526,0.9502711,0.828172,0.6649084972686833,1.503966341395558,1.0158480570244894,0.984399185572191,0.8058702406081801,1.2408945629327528,0.661805035668919,1.5110190253980926,3.148431830570272,0.7633181195105249,0.338194964331081,5480884,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,1.0,1.0,1.0,1.0
5,Graphene,NONE,False,512,0,0.0,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,12300729.788753055,5506586,6554786,7657952,5480884,0.828172,0.6452526,0.9502711,0.828172,0.6649084972686833,1.503966341395558,1.0158480570244894,0.984399185572191,0.8058702406081801,1.2408945629327528,0.661805035668919,1.5110190253980926,3.148431830570272,0.7633181195105249,0.338194964331081,5480884,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,1.0,1.0,1.0,1.0
6,Graphene,NONE,False,64,0,0.0,Mix5,0.5226008,0.6285964,0.7305218,0.5238304,2012,0,0,0,0,0,0,12733727.821025148,5226008,6285964,7305218,5238304,0.828172,0.6452526,0.9502711,0.828172,0.6310293030916283,1.5847124612132244,0.9741865433785158,1.0264974473286832,0.7687509385479575,1.3008114200014291,0.632514018827007,1.5809926266211354,3.0064808038451085,0.7281976766578653,0.3689706969083717,5226008,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.9549137366269569,0.9539897691997925,1.0909999728652446,1.035201003493955
7,Hydra,NONE,False,512,0,0.0,Mix5,0.5556082,0.6560605,0.7643776,0.549994,0,0,0,0,0,0,0,12271186.167485464,5556082,6560605,7643776,5499940,0.828172,0.6452526,0.9502711,0.828172,0.6708850335437566,1.4905683537427994,1.0167498743902776,0.9835260620019036,0.8043784557901423,1.2431959021300467,0.6641060069647368,1.5057836994585396,3.1561193706889132,0.7658325320923279,0.33589399303526324,5499940,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,1.0024417044841174,1.0032940559349166,0.993196317099609,0.9975982220750347
8,Hydra,NONE,False,64,0,0.0,Mix5,0.479853,0.5857521,0.673462,0.4755647,2247,0,0,0,0,0,0,13686766.32485548,4798530,5857521,6734620,4755647,0.828172,0.6452526,0.9502711,0.828172,0.5794122476973382,1.7258868861922299,0.9077872758668466,1.101579661430151,0.7087051263581519,1.4110240815368944,0.5742342170467004,1.7414496912828055,2.770138866969037,0.6689029966279482,0.4257657829532996,4755647,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.879847179815637,0.8763096008475207,1.258935903423121,1.1126792117139035
9,BlockHammer,NONE,False,512,0,0.0,Mix5,0.5625998,0.6219737,0.7680321,0.5319032,0,0,0,0,0,0,0,12617168.498657277,5625998,6219737,7680321,5319032,0.828172,0.6452526,0.9502711,0.828172,0.6793272412011031,1.4720446043528634,0.9639228110045586,1.0374274667883867,0.8082242004413267,1.2372804470021501,0.6422617523896003,1.5569975890349974,3.0937360050365887,0.7541833455890337,0.35773824761039974,5319032,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.9826275973319148,0.9880328087490589,1.0577870321575416,1.0257251980442292
10,BlockHammer,NONE,False,64,0,0.0,Mix5,0.0053523,0.0005994,0.0004256,0.0005713,0,0,0,0,0,0,0,10219232273.554981,53523,5994,4256,5713,0.828172,0.6452526,0.9502711,0.828172,0.006462787923281637,154.7319843805467,0.000928938527330227,1076.4974974974973,0.00044787219141990107,2232.779840225564,0.000689832546862246,1449.6271661123753,0.008529431188894012,0.0008140610339395087,0.99955212780858,4256,3.148431830570272,0.7633181195105249,0.338194964331081,12300729.788753055,0.0027091046107703357,0.001066476758682897,2.9555500028973043,830.7825998176748
11,Graphene,MEAN,False,512,32,0.65,Mix7,0.2463263,0.719895,0.2881344,0.2901504,0,0,0,0,0,0,0,26741298.15056289,2463263,7198950,2881344,2901504,0.3654681,1.2375126,0.6610784,0.6610784,0.6740021906152684,1.4836747030260269,0.5817274102906103,1.7190181901527308,0.435855111889906,2.294340418915617,0.43890467454389676,2.2783990647608965,2.1304893873396815,0.5144408447183714,0.564144888110094,2463263,2.1304893873396815,0.5144408447183714,0.564144888110094,26741298.15056289,1.0,1.0,1.0,1.0
