mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3
Graphene,MEAN,False,512,32,0.65,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,674188.730875,5506586,6554786,7657952,5480884
Graphene,MEAN,False,64,32,0.65,Mix5,0.5287986,0.6230201,0.7206602,0.52326,2009,0,0,0,0,0,0,665612.360875,5287986,6230201,7206602,5232600
Hydra,MEAN,False,512,32,0.65,Mix5,0.5556082,0.6560605,0.7643776,0.549994,0,0,0,0,0,0,0,674907.8765,5556082,6560605,7643776,5499940
Hydra,MEAN,False,64,32,0.65,Mix5,0.4770882,0.5851169,0.6641256,0.4831363,2240,0,0,0,0,0,0,650326.4893125,4770882,5851169,6641256,4831363
Dummy,NONE,False,0,0,0.0,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,674188.730875,5506586,6554786,7657952,5480884
Graphene,NONE,False,512,0,0.0,Mix5,0.5506586,0.6554786,0.7657952,0.5480884,0,0,0,0,0,0,0,674188.730875,5506586,6554786,7657952,5480884
Graphene,NONE,False,64,0,0.0,Mix5,0.5226008,0.6285964,0.7305218,0.5238304,2012,0,0,0,0,0,0,665465.634625,5226008,6285964,7305218,5238304
Hydra,NONE,False,512,0,0.0,Mix5,0.5556082,0.6560605,0.7643776,0.549994,0,0,0,0,0,0,0,674907.8765,5556082,6560605,7643776,5499940
Hydra,NONE,False,64,0,0.0,Mix5,0.479853,0.5857521,0.673462,0.4755647,2247,0,0,0,0,0,0,650894.2921249999,4798530,5857521,6734620,4755647
BlockHammer,NONE,False,512,0,0.0,Mix5,0.5625998,0.6219737,0.7680321,0.5319032,0,0,0,0,0,0,0,671111.2299375001,5625998,6219737,7680321,5319032
BlockHammer,NONE,False,64,0,0.0,Mix5,0.0053523,0.0005994,0.0004256,0.0005713,0,0,0,0,0,0,0,434930.5255625,53523,5994,4256,5713
Graphene,MEAN,False,512,32,0.65,Mix7,0.2463263,0.719895,0.2881344,0.2901504,0,0,0,0,0,0,0,658708.5030625,2463263,7198950,2881344,2901504
Graphene,MEAN,False,64,32,0.65,Mix7,0.2390669,0.6288306,0.2898344,0.2873664,930,0,0,0,0,0,0,652400.5152500002,2390669,6288306,2898344,2873664
Hydra,MEAN,False,512,32,0.65,Mix7,0.2414634,0.7074533,0.2909664,0.2878784,0,0,0,0,0,0,0,657797.2355625001,2414634,7074533,2909664,2878784
Hydra,MEAN,False,64,32,0.65,Mix7,0.2269202,0.5825071,0.2754144,0.2739864,1092,0,0,0,0,0,0,644973.4080625001,2269202,5825071,2754144,2739864
Dummy,NONE,False,0,0,0.0,Mix7,0.2463263,0.719895,0.2881344,0.2901504,0,0,0,0,0,0,0,658708.5030625,2463263,7198950,2881344,2901504
Graphene,NONE,False,512,0,0.0,Mix7,0.2463263,0.719895,0.2881344,0.2901504,0,0,0,0,0,0,0,658708.5030625,2463263,7198950,2881344,2901504
Graphene,NONE,False,64,0,0.0,Mix7,0.2306665,0.6849112,0.2804584,0.2852584,907,0,0,0,0,0,0,653102.7243125001,2306665,6849112,2804584,2852584
Hydra,NONE,False,512,0,0.0,Mix7,0.2414634,0.7074533,0.2909664,0.2878784,0,0,0,0,0,0,0,657797.2355625001,2414634,7074533,2909664,2878784
Hydra,NONE,False,64,0,0.0,Mix7,0.221803,0.6354763,0.2643664,0.2629504,1147,0,0,0,0,0,0,644322.844,2218030,6354763,2643664,2629504
BlockHammer,NONE,False,512,0,0.0,Mix7,0.2463263,0.719895,0.2881344,0.2901504,0,0,0,0,0,0,0,658708.5030625,2463263,7198950,2881344,2901504
BlockHammer,NONE,False,64,0,0.0,Mix7,0.000536,0.0063025,0.0003944,0.0004024,0,0,0,0,0,0,0,434462.8296250001,5360,63025,3944,4024
Graphene,MEAN,False,512,32,0.65,Mix4,0.4095759,0.272041,0.4008893,0.3117935,0,0,0,0,0,0,0,685086.2143125001,4095759,2720410,4008893,3117935
