mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Graphene,MEAN,False,512,32,0.65,Mix5,0,0,49
Graphene,MEAN,False,512,32,0.65,Mix5,0,1,49
Graphene,MEAN,False,512,32,0.65,Mix5,0,2,49
Graphene,MEAN,False,512,32,0.65,Mix5,0,3,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,4,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,5,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,6,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,7,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,8,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,9,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,10,134
Graphene,MEAN,False,512,32,0.65,Mix5,0,11,139
Graphene,MEAN,False,512,32,0.65,Mix5,0,12,139
Graphene,MEAN,False,512,32,0.65,Mix5,0,13,139
Graphene,MEAN,False,512,32,0.65,Mix5,0,14,144
Graphene,MEAN,False,512,32,0.65,Mix5,0,15,144
Graphene,MEAN,False,512,32,0.65,Mix5,0,16,149
Graphene,MEAN,False,512,32,0.65,Mix5,0,17,149
Graphene,MEAN,False,512,32,0.65,Mix5,0,18,154
Graphene,MEAN,False,512,32,0.65,Mix5,0,19,154
Graphene,MEAN,False,512,32,0.65,Mix5,0,20,154
Graphene,MEAN,False,512,32,0.65,Mix5,0,21,159
Graphene,MEAN,False,512,32,0.65,Mix5,0,22,159
Graphene,MEAN,False,512,32,0.65,Mix5,0,23,164
Graphene,MEAN,False,512,32,0.65,Mix5,0,24,164
Graphene,MEAN,False,512,32,0.65,Mix5,0,25,169
Graphene,MEAN,False,512,32,0.65,Mix5,0,26,169
Graphene,MEAN,False,512,32,0.65,Mix5,0,27,174
Graphene,MEAN,False,512,32,0.65,Mix5,0,28,174
Graphene,MEAN,False,512,32,0.65,Mix5,0,29,179
Graphene,MEAN,False,512,32,0.65,Mix5,0,30,179
Graphene,MEAN,False,512,32,0.65,Mix5,0,31,184
Graphene,MEAN,False,512,32,0.65,Mix5,0,32,189
Graphene,MEAN,False,512,32,0.65,Mix5,0,33,194
Graphene,MEAN,False,512,32,0.65,Mix5,0,34,194
Graphene,MEAN,False,512,32,0.65,Mix5,0,35,199
Graphene,MEAN,False,512,32,0.65,Mix5,0,36,199
Graphene,MEAN,False,512,32,0.65,Mix5,0,37,199
Graphene,MEAN,False,512,32,0.65,Mix5,0,38,204
Graphene,MEAN,False,512,32,0.65,Mix5,0,39,204
Graphene,MEAN,False,512,32,0.65,Mix5,0,40,204
Graphene,MEAN,False,512,32,0.65,Mix5,0,41,209
Graphene,MEAN,False,512,32,0.65,Mix5,0,42,209
Graphene,MEAN,False,512,32,0.65,Mix5,0,43,214
Graphene,MEAN,False,512,32,0.65,Mix5,0,44,214
Graphene,MEAN,False,512,32,0.65,Mix5,0,45,219
Graphene,MEAN,False,512,32,0.65,Mix5,0,46,219
Graphene,MEAN,False,512,32,0.65,Mix5,0,47,224
Graphene,MEAN,False,512,32,0.65,Mix5,0,48,224
Graphene,MEAN,False,512,32,0.65,Mix5,0,49,229
Graphene,MEAN,False,512,32,0.65,Mix5,0,50,229
Graphene,MEAN,False,512,32,0.65,Mix5,0,51,234
Graphene,MEAN,False,512,32,0.65,Mix5,0,52,239
Graphene,MEAN,False,512,32,0.65,Mix5,0,53,239
Graphene,MEAN,False,512,32,0.65,Mix5,0,54,244
Graphene,MEAN,False,512,32,0.65,Mix5,0,55,249
Graphene,MEAN,False,512,32,0.65,Mix5,0,56,254
Graphene,MEAN,False,512,32,0.65,Mix5,0,57,259
Graphene,MEAN,False,512,32,0.65,Mix5,0,58,264
Graphene,MEAN,False,512,32,0.65,Mix5,0,59,264
Graphene,MEAN,False,512,32,0.65,Mix5,0,60,269
Graphene,MEAN,False,512,32,0.65,Mix5,0,61,269
Graphene,MEAN,False,512,32,0.65,Mix5,0,62,274
Graphene,MEAN,False,512,32,0.65,Mix5,0,63,274
Graphene,MEAN,False,512,32,0.65,Mix5,0,64,279
Graphene,MEAN,False,512,32,0.65,Mix5,0,65,279
Graphene,MEAN,False,512,32,0.65,Mix5,0,66,284
Graphene,MEAN,False,512,32,0.65,Mix5,0,67,289
Graphene,MEAN,False,512,32,0.65,Mix5,0,68,289
Graphene,MEAN,False,512,32,0.65,Mix5,0,69,294
Graphene,MEAN,False,512,32,0.65,Mix5,0,70,299
Graphene,MEAN,False,512,32,0.65,Mix5,0,71,304
Graphene,MEAN,False,512,32,0.65,Mix5,0,72,304
Graphene,MEAN,False,512,32,0.65,Mix5,0,73,309
Graphene,MEAN,False,512,32,0.65,Mix5,0,74,314
Graphene,MEAN,False,512,32,0.65,Mix5,0,75,319
Graphene,MEAN,False,512,32,0.65,Mix5,0,76,324
Graphene,MEAN,False,512,32,0.65,Mix5,0,77,334
Graphene,MEAN,False,512,32,0.65,Mix5,0,78,339
