mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Dummy,NONE,False,0,0,0.0,519.lbm,0,0,24
Dummy,NONE,False,0,0,0.0,519.lbm,0,1,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,2,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,3,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,4,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,5,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,6,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,7,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,8,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,9,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,10,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,11,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,12,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,13,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,14,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,15,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,16,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,17,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,18,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,19,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,20,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,21,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,22,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,23,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,24,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,25,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,26,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,27,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,28,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,29,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,30,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,31,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,32,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,33,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,34,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,35,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,36,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,37,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,38,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,39,49
Dummy,NONE,False,0,0,0.0,519.lbm,0,40,134
Dummy,NONE,False,0,0,0.0,519.lbm,0,41,134
Dummy,NONE,False,0,0,0.0,519.lbm,0,42,139
